* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (2- UMM-6), MICROPHONE (Master Volume), R, volume: 0.320. Timing signal peak level -59.2 dBFS, measurement signal peak level -43.6 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026 6:28:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.7529 ms (-944 mm, -(3 ft 1.18 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -18.4 ppm
* Measurement: MID + TW (875us)
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 30.029297 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
124.532898 72.289 94.7848
125.435318 72.693 94.5475
126.344276 73.098 94.1903
127.259819 73.499 93.6936
128.181992 73.890 93.0445
129.110855 74.264 92.2399
130.046448 74.617 91.2911
130.988815 74.944 90.2248
131.938019 75.242 89.0801
132.894089 75.512 87.9028
133.857101 75.754 86.7397
134.827087 75.974 85.6324
135.804108 76.175 84.6156
136.788193 76.365 83.7155
137.779419 76.548 82.9462
138.777832 76.733 82.3171
139.783478 76.926 81.8292
140.796402 77.133 81.4724
141.816666 77.359 81.2292
142.844330 77.607 81.0770
143.879440 77.880 80.9894
144.922043 78.177 80.9375
145.972214 78.500 80.8904
147.029984 78.844 80.8132
148.095428 79.205 80.6672
149.168594 79.578 80.4124
150.249527 79.955 80.0139
151.338303 80.325 79.4476
152.434967 80.680 78.7065
153.539566 81.013 77.8046
154.652176 81.316 76.7744
155.772842 81.590 75.6616
156.901642 81.833 74.5166
158.038620 82.052 73.3858
159.183838 82.251 72.3044
160.337357 82.439 71.2941
161.499222 82.620 70.3634
162.669510 82.803 69.5112
163.848282 82.990 68.7322
165.035599 83.186 68.0147
166.231522 83.393 67.3441
167.436096 83.612 66.7053
168.649414 83.842 66.0819
169.871521 84.082 65.4564
171.102478 84.331 64.8113
172.342361 84.586 64.1295
173.591232 84.843 63.3956
174.849152 85.098 62.5986
176.116180 85.348 61.7346
177.392395 85.591 60.8080
178.677856 85.823 59.8309
179.972626 86.046 58.8120
181.276779 86.256 57.7576
182.590393 86.456 56.6760
183.913513 86.643 55.5762
185.246231 86.820 54.4673
186.588608 86.986 53.3579
187.940704 87.143 52.2554
189.302597 87.293 51.1650
190.674362 87.436 50.0880
192.056061 87.572 49.0209
193.447784 87.702 47.9581
194.849594 87.824 46.8972
196.261551 87.934 45.8368
197.683746 88.031 44.7814
199.116241 88.113 43.7459
200.559113 88.178 42.7507
202.012451 88.229 41.8165
203.476318 88.269 40.9589
204.950790 88.303 40.1844
206.435944 88.333 39.4899
207.931870 88.362 38.8647
209.438629 88.394 38.2944
210.956314 88.426 37.7655
212.484985 88.459 37.2673
214.024734 88.491 36.7977
215.575653 88.522 36.3591
217.137802 88.551 35.9537
218.711273 88.579 35.5813
220.296143 88.607 35.2384
221.892502 88.633 34.9205
223.500427 88.659 34.6229
225.120010 88.682 34.3429
226.751328 88.702 34.0795
228.394455 88.717 33.8350
230.049500 88.727 33.6140
231.716537 88.731 33.4142
233.395645 88.728 33.2451
235.086929 88.719 33.1200
236.790466 88.704 33.0457
238.506348 88.683 33.0280
240.234665 88.658 33.0712
241.975510 88.629 33.1776
243.728958 88.597 33.3477
245.495117 88.562 33.5826
247.274078 88.524 33.8856
249.065933 88.485 34.2620
250.870773 88.445 34.7172
252.688690 88.406 35.2416
254.519775 88.371 35.8385
256.364136 88.341 36.5132
258.221863 88.318 37.2570
260.093048 88.305 38.0579
261.977783 88.301 38.9019
263.876190 88.306 39.7737
265.788361 88.320 40.6596
267.714386 88.340 41.5485
269.654358 88.366 42.4338
271.608398 88.396 43.3115
273.576599 88.427 44.1783
275.559052 88.458 45.0217
277.555878 88.488 45.8447
279.567169 88.513 46.6602
281.593018 88.532 47.4789
283.633545 88.542 48.3170
285.688873 88.542 49.1967
287.759094 88.533 50.1445
289.844330 88.516 51.1898
291.944672 88.496 52.3580
294.060211 88.478 53.6637
296.191101 88.470 55.1035
298.337433 88.477 56.6542
300.499298 88.504 58.2802
302.676849 88.554 59.9325
304.870178 88.623 61.5627
307.079407 88.708 63.1373
309.304626 88.805 64.6383
311.545990 88.909 66.0629
313.803589 89.015 67.4172
316.077545 89.122 68.7111
318.367981 89.228 69.9528
320.675018 89.332 71.1491
322.998749 89.433 72.3046
325.339325 89.531 73.4232
327.696869 89.624 74.5168
330.071503 89.711 75.5894
332.463348 89.792 76.6437
334.872528 89.866 77.6907
337.299164 89.934 78.7399
339.743378 89.997 79.7978
342.205292 90.057 80.8666
344.685059 90.113 81.9446
347.182800 90.167 83.0259
349.698639 90.218 84.1040
352.232697 90.263 85.1736
354.785126 90.302 86.2336
357.356049 90.332 87.2980
359.945587 90.352 88.3748
362.553894 90.359 89.4714
365.181122 90.355 90.6031
367.827362 90.339 91.7852
370.492798 90.312 93.0326
373.177551 90.275 94.3594
375.881744 90.232 95.7775
378.605530 90.184 97.2953
381.349060 90.135 98.9150
384.112488 90.089 100.6335
386.895935 90.048 102.4422
389.699554 90.014 104.3304
392.523468 89.990 106.2810
395.367859 89.976 108.2729
398.232849 89.970 110.2874
401.118622 89.973 112.3094
404.025299 89.980 114.3306
406.953033 89.991 116.3490
409.901978 90.002 118.3678
412.872284 90.013 120.3944
415.864136 90.023 122.4392
418.877655 90.032 124.5123
421.913025 90.042 126.6198
424.970367 90.055 128.7587
428.049866 90.071 130.9192
431.151703 90.092 133.0869
434.276001 90.115 135.2474
437.422943 90.140 137.3910
440.592682 90.163 139.5154
443.785400 90.181 141.6267
447.001251 90.192 143.7370
450.240417 90.196 145.8616
453.503052 90.193 148.0159
456.789307 90.183 150.2136
460.099396 90.169 152.4641
463.433472 90.150 154.7750
466.791687 90.131 157.1490
470.174255 90.111 159.5845
473.581329 90.094 162.0753
477.013092 90.078 164.6098
480.469727 90.065 167.1762
483.951416 90.052 169.7673
487.458313 90.038 172.3843
490.990631 90.022 175.0353
494.548553 90.003 177.7296
498.132263 89.983 -179.5269
501.741943 89.963 -176.7338
505.377777 89.944 -173.8907
509.039948 89.927 -171.0019
512.728638 89.913 -168.0745
516.444092 89.902 -165.1148
520.186462 89.894 -162.1286
523.955933 89.889 -159.1202
527.752747 89.886 -156.0938
531.577087 89.885 -153.0526
535.429138 89.884 -149.9992
539.309082 89.883 -146.9330
543.217163 89.879 -143.8492
547.153564 89.871 -140.7395
551.118469 89.860 -137.5964
555.112122 89.846 -134.4097
559.134705 89.830 -131.1704
563.186401 89.812 -127.8738
567.267456 89.793 -124.5187
571.378113 89.776 -121.1051
575.518555 89.759 -117.6337
579.689026 89.745 -114.1046
583.889709 89.734 -110.5169
588.120789 89.726 -106.8699
592.382568 89.722 -103.1626
596.675232 89.724 -99.3956
600.998962 89.733 -95.5782
605.354065 89.750 -91.7162
609.740723 89.777 -87.8162
614.159180 89.813 -83.8915
618.609619 89.859 -79.9574
623.092346 89.913 -76.0286
627.607544 89.974 -72.1160
632.155457 90.039 -68.2238
636.736328 90.108 -64.3516
641.350403 90.178 -60.4977
645.997864 90.249 -56.6626
650.679016 90.322 -52.8499
655.394104 90.393 -49.0718
660.143372 90.463 -45.3301
664.927063 90.527 -41.6197
669.745422 90.585 -37.9345
674.598694 90.633 -34.2641
679.487122 90.672 -30.5956
684.410950 90.700 -26.9158
689.370483 90.717 -23.2125
694.365967 90.724 -19.4758
699.397644 90.720 -15.6962
704.465759 90.705 -11.8643
709.570618 90.680 -7.9688
714.712463 90.645 -3.9957
719.891541 90.601 0.0678
725.108154 90.551 4.2319
730.362610 90.495 8.5038
735.655090 90.437 12.8864
740.985962 90.379 17.3797
746.355469 90.322 21.9833
751.763855 90.268 26.6967
757.211426 90.219 31.5192
762.698486 90.177 36.4489
768.225342 90.144 41.4813
773.792236 90.122 46.6079
779.399475 90.113 51.8228
785.047302 90.120 57.1055
790.736084 90.143 62.4297
796.466064 90.182 67.7753
802.237610 90.237 73.1232
808.050964 90.306 78.4547
813.906433 90.389 83.7516
819.804321 90.482 88.9985
825.744934 90.582 94.1830
831.728638 90.687 99.2985
837.755676 90.793 104.3423
843.826416 90.895 109.3167
849.941101 90.993 114.2361
856.100098 91.081 119.1077
862.303772 91.158 123.9376
868.552368 91.222 128.7400
874.846252 91.271 133.5305
881.185730 91.304 138.3257
887.571167 91.320 143.1433
894.002869 91.318 148.0032
900.481201 91.299 152.9260
907.006470 91.262 157.9325
913.579041 91.211 163.0426
920.199219 91.145 168.2754
926.867371 91.069 173.6508
933.583862 90.986 179.1842
940.348999 90.898 -175.1130
947.163147 90.813 -169.2341
954.026672 90.734 -163.1805
960.939941 90.668 -156.9650
967.903320 90.621 -150.6111
974.917175 90.595 -144.1523
981.981812 90.593 -137.6296
989.097656 90.616 -131.0845
996.265076 90.659 -124.5571
1003.484436 90.720 -118.0809
1010.756104 90.792 -111.6958
1018.080444 90.869 -105.4094
1025.457886 90.944 -99.2100
1032.888794 91.012 -93.0879
1040.373535 91.068 -87.0251
1047.912476 91.108 -80.9982
1055.506104 91.129 -74.9788
1063.154785 91.129 -68.9359
1070.858887 91.108 -62.8379
1078.618774 91.068 -56.6534
1086.434937 91.010 -50.3544
1094.307739 90.938 -43.9180
1102.237549 90.856 -37.3417
1110.224854 90.769 -30.6123
1118.270020 90.682 -23.7168
1126.373413 90.598 -16.6615
1134.535522 90.523 -9.4601
1142.756836 90.460 -2.1317
1151.037720 90.411 5.3018
1159.378662 90.376 12.8191
1167.780029 90.358 20.4004
1176.242188 90.354 28.0262
1184.765747 90.364 35.6791
1193.351074 90.387 43.3422
1201.998535 90.421 50.9962
1210.708740 90.463 58.6301
1219.482056 90.509 66.2382
1228.318970 90.557 73.8152
1237.219849 90.602 81.3622
1246.185303 90.640 88.8861
1255.215698 90.669 96.3995
1264.311523 90.685 103.9208
1273.473267 90.688 111.4705
1282.701416 90.677 119.0706
1291.996460 90.653 126.7412
1301.358765 90.617 134.5005
1310.788940 90.571 142.3666
1320.287476 90.520 150.3478
1329.854858 90.464 158.4464
1339.491577 90.408 166.6620
1349.198120 90.355 174.9901
1358.974976 90.308 -176.5789
1368.822632 90.268 -168.0583
1378.741699 90.236 -159.4642
1388.732666 90.214 -150.8148
1398.796021 90.201 -142.1284
1408.932251 90.194 -133.4220
1419.141968 90.191 -124.7079
1429.425659 90.190 -115.9803
1439.783813 90.186 -107.2455
1450.217041 90.175 -98.5103
1460.725952 90.154 -89.7646
1471.311035 90.119 -80.9924
1481.972778 90.068 -72.1722
1492.711792 89.998 -63.2775
1503.528564 89.910 -54.2793
1514.423706 89.803 -45.1486
1525.397827 89.680 -35.8566
1536.451538 89.544 -26.3783
1547.585327 89.399 -16.6942
1558.799805 89.250 -6.7819
1570.095459 89.103 3.3632
1581.473022 88.963 13.7340
1592.932983 88.838 24.3204
1604.476074 88.733 35.1019
1616.102783 88.654 46.0466
1627.813721 88.604 57.1133
1639.609497 88.583 68.2545
1651.490723 88.591 79.4233
1663.458130 88.622 90.5806
1675.512207 88.672 101.6985
1687.653687 88.732 112.7654
1699.883179 88.796 123.7843
1712.201294 88.858 134.7712
1724.608643 88.914 145.7516
1737.105835 88.962 156.7563
1749.693604 89.001 167.8176
1762.372559 89.034 178.9647
1775.143433 89.064 -169.7802
1788.006836 89.095 -158.4060
1800.963501 89.134 -146.9156
1814.014038 89.185 -135.3274
1827.159180 89.249 -123.6708
1840.399536 89.328 -111.9813
1853.735840 89.416 -100.3011
1867.168823 89.508 -88.6514
1880.699097 89.596 -77.0330
1894.327393 89.674 -65.4358
1908.054443 89.736 -53.8324
1921.880981 89.777 -42.1837
1935.807739 89.797 -30.4443
1949.835449 89.799 -18.5712
1963.964722 89.789 -6.5306
1978.196411 89.774 5.6941
1992.531250 89.762 18.0990
2006.969971 89.760 30.6593
2021.513306 89.772 43.3232
2036.161987 89.795 56.0504
2050.916748 89.827 68.8135
2065.778564 89.861 81.5923
2080.748047 89.888 94.3882
2095.825928 89.901 107.2222
2111.013184 89.897 120.1313
2126.310547 89.874 133.1575
2141.718750 89.835 146.3398
2157.238525 89.784 159.7080
2172.870850 89.729 173.2722
2188.616455 89.676 -172.9761
2204.476074 89.630 -159.0676
2220.450684 89.592 -145.0342
2236.541016 89.561 -130.9011
2252.747803 89.531 -116.6846
2269.072021 89.497 -102.3821
2285.514648 89.454 -87.9727
2302.076416 89.400 -73.4246
2318.758301 89.335 -58.7031
2335.561035 89.263 -43.7786
2352.485352 89.189 -28.6379
2369.532471 89.120 -13.2864
2386.703125 89.060 2.2539
2403.998047 89.011 17.9583
2421.418457 88.972 33.7942
2438.965088 88.938 49.7385
2456.638916 88.903 65.7920
2474.440674 88.862 81.9797
2492.371582 88.811 98.3425
2510.432373 88.751 114.9270
2528.624023 88.688 131.7717
2546.947510 88.628 148.8896
2565.403809 88.580 166.2673
2583.993896 88.550 -176.1399
2602.718506 88.540 -158.3862
2621.578857 88.548 -140.5085
2640.575928 88.568 -122.5349
2659.710693 88.596 -104.4705
2678.984131 88.628 -86.2900
2698.397217 88.665 -67.9636
2717.950928 88.710 -49.4753
2737.646240 88.768 -30.8323
2757.484375 88.842 -12.0649
2777.466309 88.931 6.7830
2797.593018 89.030 25.6743
2817.865479 89.132 44.5925
2838.284912 89.232 63.5466
2858.852295 89.325 82.5752
2879.568604 89.412 101.7095
2900.435059 89.495 120.9668
2921.452881 89.577 140.3542
2942.623047 89.661 159.8608
2963.946533 89.747 179.4644
2985.424561 89.830 -160.8523
3007.058105 89.907 -141.0940
3028.848389 89.971 -121.2473
3050.796631 90.019 -101.2817
3072.904053 90.051 -81.1616
